Dataset,Improvement in NDCG@10,nr_queries,Number of Test Documents,Generated Query Type Distribution Entropy,Entropy between Test and Generated Query Type Distributions,Overlap of Generated Query to Source Document Vocabulary,Overlap of Generated to Source Query Vocabulary,Overlap of Test Document to Generated Query Vocabulary,Overlap of Test to Generated Query Vocabulary
TREC-COVID,6.5,50,171332,2.5524737901341035,1.0936708600782692,0.1704044442984833,0.2056677146408257,0.32299017499660626,0.07463552471258672
FIQA,6.1,648,57638,2.7319309631705946,1.6144251399006855,0.23666939935182643,0.2711153580753007,0.36122061019724966,0.29410162623938246
DBPedia-Entity,1.9,400,4635922,2.2247248811598306,3.4051875066484976,0.16444747714582605,0.23468715242731514,0.3007997898193992,0.1189078035255936
SCIDocs,2.5,1000,25657,2.184276518438997,5.718021625070741,0.16790935033258636,0.18080025859730245,0.3474249552854769,0.3055553205640471
WebisTouche,3.7,49,382545,2.693433226500879,3.2558378347022265,0.2223728092620406,0.25009364791910077,0.3410648636402717,0.055834813667015634
Arguana,14.4,1406,8674,2.4319673297482196,3.271139655851532,0.19310904621347852,0.19736901297199677,0.35865867117123895,0.3222610849035391
Climate-FEVER,2.8,1535,5416593,2.2615187122282006,2.648246458719041,0.1654768117937379,0.24085992936251624,0.2693710458238538,0.08146942358389893
FEVER,1.4,6666,5416568,2.259411168518706,4.175556435300318,0.16524262448057664,0.23911604081460958,0.2680339012840302,0.16390058722382878
Quora,2.0,10000,522931,2.591434645992533,0.9417990840950841,0.31734439413595644,0.34579536808097033,0.5833572583077351,0.45707001285481186
HotPot-QA,1.1,7405,5233329,2.249467275622358,1.4215086745780616,0.16434753533878707,0.23864815870508754,0.2957066226408216,0.2945160155799199
NQ,1.1,3452,2681468,2.668596149659575,1.6704408833585969,0.2843674263346432,0.3780630082471947,0.37330188574882806,0.4109996349829302
NF-Corpus,6.5,323,3633,2.513207443401284,5.083076938530519,0.13715600762305166,0.18394998881249996,0.2786619268039152,0.14441506585065406
SCIFACT,7.3,300,5183,2.4397248724768406,5.679839929008228,0.12808788763722054,0.15826014479415607,0.3196019616600123,0.1791176558303699
CQADupstack,4.9,13145,457199,2.6502770391767663,1.60362670889678,0.18275985098118558,0.17080967575675773,0.31785100299182023,0.41302499923696384
