Dataset,Improvement in NDCG@10,nr_queries,Number of Test Documents,Generated Query Type Distribution Entropy,Entropy between Test and Generated Query Type Distributions,Overlap of Generated Query to Source Document Vocabulary,Overlap of Generated to Source Query Vocabulary,Overlap of Test Document to Generated Query Vocabulary,Overlap of Test to Generated Query Vocabulary
Writing Search,6.5,1071,199994,2.4669088327167863,0.5402410566911602,0.2536237615141956,0.2602468035168221,0.33696010819599664,0.1466354989292103
Writing Forum,5.4,2000,199994,2.4641687436490396,0.3076227930353552,0.25368127551784814,0.2602937609809757,0.33746761618163695,0.2695879494220544
Pooled Search,2.2,3869,2818927,2.555133638441503,0.523636744269292,0.17828263226280355,0.1875500487303742,0.2786972557881439,0.1593382037600542
Pooled Forum,1.1,10025,2818927,2.5534746782436026,0.3625158101593976,0.1709867984943338,0.17987060316903167,0.2680122448868214,0.22611380246819113
Lifestyle Search,4.5,661,119459,2.6010119350977448,0.2583277505720464,0.19893079104417535,0.260659340321845,0.30644018448183674,0.19436055687854753
Lifestyle Forum,4.9,2002,119459,2.5962193503180466,0.2770381544852785,0.19912425250234722,0.26028882788537305,0.30663590893754994,0.30614859931076494
Recreation Search,7.5,924,166975,2.784629678302258,0.42293433680198,0.21986919786051826,0.25073842652219686,0.3391447678066768,0.20556530828258068
Recreation Forum,5.7,2002,166975,2.785861558456303,0.18279019663580207,0.21983948435834297,0.2508755133787956,0.33902229262796074,0.2858143714365292
Science Search,3.5,617,1694164,2.489680473326662,0.43765396404766954,0.14829095854497973,0.14949361622128102,0.29119307002872263,0.15545780116215063
Science Forum,2.3,2017,1694164,2.489350435771515,0.6520185001664702,0.14826163639674889,0.14935881379925905,0.29119051870052054,0.2512348653506262
Technology Search,5.1,596,638509,2.658184465999825,0.15284608301071897,0.1649795389867726,0.16184310650401376,0.3438512867365182,0.189162999800404
Technology Forum,4.1,2004,638509,2.6577274451202477,0.3685406934727715,0.165003141216633,0.16209981713100655,0.34368561300243894,0.33605953152667306
