Dataset,Improvement in NDCG@10,nr_queries,Number of Test Documents,Generated Query Type Distribution Entropy,Entropy between Test and Generated Query Type Distributions,Overlap of Generated Query to Source Document Vocabulary,Overlap of Generated to Source Query Vocabulary,Overlap of Test Document to Generated Query Vocabulary,Overlap of Test to Generated Query Vocabulary
TREC-COVID,4.5,50,171332,0.4107596683536488,0.7703203583129179,0.12394794586982749,0.12490965072057715,0.30192405415356294,0.09267996708572457
FIQA,-0.2,648,57638,0.9674703047945239,1.8341025180415,0.18048869499104792,0.18212115562729914,0.2735197830451196,0.24704491562743797
DBPedia-Entity,0.2,400,4635922,0.7744342654480153,1.848806242123804,0.13817234645553692,0.14843554790958946,0.2949751747971007,0.09452105493840639
SCIDocs,5.1,1000,25657,0.8474053412567846,4.952158233203935,0.1390150818133791,0.12904146067562866,0.3041708611014535,0.24829474423491152
WebisTouche,-5.0,49,382545,0.9237762355138371,2.5550471946170425,0.1493683110300783,0.17307117922795548,0.21384990034901763,0.03916535922667231
Arguana,-1.0,1406,8674,0.37895501012810673,6.7612798289660505,0.12557109623511203,0.12700618331717536,0.20963495403609714,0.1899097339223509
Climate-FEVER,0.0,1535,5416593,0.5076893862201526,4.295614094821723,0.11869558502565589,0.13420361069020056,0.1932451693767662,0.056066888526061794
FEVER,0.0,6666,5416568,0.5064504952286806,4.375704828085005,0.1187217245238785,0.13400772430418237,0.1936222302911404,0.1059854609415542
Quora,4.0,10000,522931,2.0803771585730138,0.16181298524627527,0.28705730293572945,0.26811791165767646,0.7595314253607771,0.562611340561003
HotPot-QA,3.0,7405,5233329,0.6164877199282742,2.5828667478464555,0.11269894820253883,0.1280325550411489,0.21604839709647017,0.2044517151566622
NQ,0.0,3452,2681468,0.8169804340570226,2.123001054323431,0.17620727479728185,0.18959461717168152,0.2612866944937469,0.2181563103392889
NF-Corpus,0.5,323,3633,0.276277327710379,5.313988031306716,0.09836564065377314,0.10488046492542716,0.24156579148157556,0.09990283269202276
SCIFACT,0.0,300,5183,0.4864886019232135,5.5937001645925335,0.09732722081241929,0.10090785032264823,0.259332667296823,0.1319035421710695
CQADupstack,0.0,13145,457199,1.5040207142905673,1.7894647114802957,0.2114251952770886,0.16415464564025978,0.3457448412786094,0.5175393386424314
